name	price	category
とろびんちょう 塩ごま油	110	limited
えび 塩ごま油	110	limited
野沢菜昆布軍艦	110	limited
福井県水揚げ漬けほたるいか	176	limited
北海道産大切りさくらます	176	limited
あんきも軍艦	176	limited
あんきもかにみそ軍艦	176	limited
厳選まぐろ中とろ	176	limited
炙り厳選まぐろ中とろゆず塩	176	limited
特製漬け中とろ	176	limited
桜えび軍艦	231	limited
地中海産本鮪大とろ	319	limited
炙り地中海産本鮪大とろゆず塩	319	limited
大えびフライ握り	319	limited
大えびフライ握り（タルタルソース）	319	limited
大えびフライ握り（お好みソース）	319	limited
重ね厳選まぐろ中とろ	319	limited
炙り重ね厳選まぐろ中とろゆず塩	319	limited
うに軍艦	319	limited
うにいくら軍艦	319	limited
直火焼き牛たん握り	429	limited
直火焼き牛たん握り（ねぎ盛り）	473	limited
特製とんこつ醤油ラーメン	429	limited
焼豚増量特製とんこつ醤油ラーメン	506	limited
特製旨辛とんこつ醤油ラーメン	506	limited
たっぷりあさりと帆立のあんかけ茶碗蒸し	319	limited
大えびフライ（タルタルソース）	539	limited
甘熟王バナナとチョコのパルフェ	473	limited
キャラメルモンブラン	297	limited
ブルーベリーレアチーズケーキ	297	limited
冷凍ぶどう	176	limited
まぐろ	110	nigiri
特製漬けまぐろ	110	nigiri
まぐろレアステーキつつみ	110	nigiri
とろびんちょう	110	nigiri
とろびんちょう山わさび	110	nigiri
特製漬けとろびんちょう	110	nigiri
とろたくつつみ	110	nigiri
とろたくユッケつつみ	110	nigiri
まぐろ二種盛り	110	nigiri
サーモン	110	nigiri
サーモンゆず塩	110	nigiri
サーモン山わさび	110	nigiri
サーモンつつみ	110	nigiri
えび	110	nigiri
炙りえびマヨ	110	nigiri
生えび	132	nigiri
甘えび	132	nigiri
えび天握り	132	nigiri
えび天	132	nigiri
アカイカ	110	nigiri
アカイカゆず塩	110	nigiri
大葉漬けアカイカ	110	nigiri
ヤリイカ	110	nigiri
ヤリイカゆず塩	110	nigiri
大葉漬けヤリイカ	110	nigiri
たまご	110	nigiri
焼きハラス	110	nigiri
焼きサバ	110	nigiri
炙りれんこんのはさみ揚げ	110	nigiri
あなご一本握り	176	nigiri
煮穴子一本握り	176	nigiri
牛塩カルビ	176	nikunigiri
炙り牛塩カルビ	176	nikunigiri
牛タタキ	176	nikunigiri
牛タタキオニオン	176	nikunigiri
合鴨ロース	176	nikunigiri
炙り合鴨ロース	176	nikunigiri
炙りとろサーモンレモン	176	nikunigiri
特製漬けとろサーモン	176	nikunigiri
とろサーモンハラス	176	nikunigiri
ローストビーフ	176	nikunigiri
ローストビーフユッケ	176	nikunigiri
ローストビーフマヨオニオン	176	nikunigiri
炙り上穴子一本握り	242	nikunigiri
牛たん握り	242	nikunigiri
うなぎ	319	nikunigiri
大うなぎ	429	nikunigiri
いか軍艦	110	gunkan
いかオクラ軍艦	110	gunkan
唐揚げ軍艦	110	gunkan
コーン軍艦	110	gunkan
ツナ軍艦	110	gunkan
シーフードサラダ軍艦	110	gunkan
ジューシーミートボール軍艦	110	gunkan
きゅうり巻き	110	gunkan
梅しそきゅうり巻き	110	gunkan
かっぱ巻き	110	gunkan
鉄火巻き	110	gunkan
納豆巻き	110	gunkan
えびマヨ軍艦	110	gunkan
えびアボカドマヨ軍艦	110	gunkan
玉子サラダ軍艦	110	gunkan
まぐろアボカド	110	gunkan
ツナサラダ軍艦	110	gunkan
まぐろユッケ軍艦	110	gunkan
サーモンアボカド	132	gunkan
とびっこ軍艦	132	gunkan
焼きハラスアボカド	132	gunkan
粗びき生えび軍艦	132	gunkan
数の子軍艦	132	gunkan
ねぎとろ	132	gunkan
ねぎとろ軍艦	132	gunkan
いくら	176	gunkan
厚切りねぎとろ	176	gunkan
ほたて(北海道・青森県産)	176	zeitaku
炙りほたて(北海道・青森県産)	176	zeitaku
ほたてレアステーキ(北海道・青森県産)	176	zeitaku
つぶ貝	176	zeitaku
赤貝	176	zeitaku
真だこ	176	zeitaku
えんがわ	176	zeitaku
炙りえんがわ	176	zeitaku
炙りえびチーズマヨ	176	zeitaku
炙りサーモンチーズマヨ	176	zeitaku
炙りたまごチーズマヨ	176	zeitaku
真あじ	176	zeitaku
真あじ漁師漬け	176	zeitaku
宮城県産とろいわし	176	zeitaku
炙り宮城県産とろいわし	176	zeitaku
宮城県産とろいわし漁師漬け	176	zeitaku
サーモンマヨオニオン	176	zeitaku
サーモンマヨアボカド	176	zeitaku
